Main Odour,Sweet,Floral,Woody/Resinous,Fruity (non-citrus),Musky,Earthy,Putrid,Pungent,Chemical,Popcorn (toasted/nutty),Citrusy,Camphoraceous,Ethereal,Nutty,Spicy,Green,Watery,Fresh
vanilla,High,Medium,Low,,,,,,,,,,,,,,,
berry,Medium,Low,,High,,,,,,,,,,,,,,
animal,,,Low,,High,Medium,Low,,,,,,,,,,,
burnt,,,,,,Low,,High,Medium,Medium,,,,,,,,
roasted,,,Medium,,,Medium,,Low,,High,,,,,,,,
rose,Medium,High,Low,Low,,,,,,,,,,,,,,
violet,Medium,High,,,,Low,,,,,,,,,,,,
citrus,Low,,,Medium,,,,,,,High,,,,,,,
onion,Low,,,,,Medium,,High,Low,,,,,,,,,
pear,Medium,Low,,High,,Low,,,,,,,,,,,,
dry,,,Medium,,Low,High,,,,,,,,,,,,
orris,Low,Medium,Medium,,,Low,,,,,,,,,,,,
medicinal,,,,,,,,,Medium,,,High,Low,,,,,
fresh,,Low,Low,Medium,,,,,,,Medium,,Low,,,,,
caramellic,High,,,Low,,,,,,Medium,,,,,,,,
camphoreous,,,,,,,,,Medium,,,High,Low,,,,,
hawthorn,,High,Low,Medium,,Low,,,,,,,,,,,,
jasmin,Medium,High,,Low,,,,,,,,,,,,,,
aromatic,Medium,High,Medium,Low,,,,,,,,,,,,,,
orange,Low,,,Medium,,,,,,,High,,,,,,,
pineapple,Medium,,,High,,,,,,,Low,,,,,,,
pungent,,,,,,,,High,,,,,,,,,,
honey,High,Medium,Low,Low,,,,,,,,,,,,,,
oily,,,,,,,,Low,High,,,,Medium,,,,,
cheesy,Low,,,,,Low,Medium,High,,Medium,,,,,,,,
fishy,,,,,,Low,High,Medium,,,,,,,,,,
odorless,,,,,,,,,,,,,,,,,,
balsamic,Medium,,High,,,Low,,,,,,,,,,,,
powdery,Low,Medium,,,Low,,,,,,,,Low,,,,,
alcoholic,,,,,,,,Low,Medium,,,,High,,,,,
fermented,,,,Low,,Medium,High,Medium,,,,,,,,,,
banana,Medium,,,High,,Low,,,,,,,,,,,,
spicy,,,Medium,,,Low,,High,,,,,,,,,,
fruity,Medium,Low,,High,,,,,,,,,,,,,,
meaty,,,Low,,,Medium,Low,High,,,,,,,,,,
sweet,High,Low,,Medium,,,,,,,,,,,,,,
ethereal,Low,Medium,,,,,,,,,,,High,,,,,
winey,Low,,Medium,High,,Medium,,,,,,,,,,,,
apple,Medium,Low,,High,,Low,,,,,,,,,,,,
solvent,,,,,,,,Medium,High,,,,Medium,,,,,
cooked,Low,,,,,Low,,Medium,,High,,,,,,,,
melon,Medium,,,High,,Low,,,,,,,,,,,,
almond,High,,Low,,,,,,,,,,,Medium,,,,
bitter,,,,,,Low,,High,Medium,,,,,,,,,
raspberry,Medium,Low,,High,,,,,,,,,,,,,,
tobacco,Low,,High,,Low,Medium,,,,,,,,,,,,
cinnamon,Medium,,High,,,Low,,,,,,,,,High,,,
garlic,,,,,,Low,Medium,High,Low,,,,,,,,,
leathery,,,High,,Medium,Medium,,Low,,,,,,,,,,
coumarinic,High,,Medium,,,Low,,,,,,,,,,,,
green,,Low,Medium,Low,,Medium,,,,,,,,,,,,
sulfurous,,,,,,,High,Medium,Medium,,,,,,,,,
woody,,,High,,,Medium,,,,,,Low,,,,,,
metallic,,,,,,,,Medium,High,,,,Low,,,,,
savory,Low,,Medium,,,Medium,,High,,,,,,,,,,
alliaceous,,,,,,Medium,Low,High,,,,,,,,,,
nutty,,,Medium,,,Low,,,,High,,,,,,,,
phenolic,,,Low,,,,,Medium,High,,,,,,,,,
cherry,Medium,Low,,High,,,,,,,,,,,,,,
smoky,,,High,,,Medium,,Medium,Low,,,,,,,,,
ripe,Medium,,,High,,Low,,,,,,,,,,,,
hay,Low,,Medium,,,High,,,,,,,,,,,,
ketonic,,,,,,,,Medium,High,,,,Medium,,,,,
cucumber,,,,,,Low,,,,,,,,,,High,Medium,High
fatty,,,Low,,Medium,,Low,Medium,,,,,,,,,,
floral,Medium,High,,Low,,,,,,,,,,,,,,
