Main Odour,Ethereal,Chemical,Pungent,Floral,Citrusy,Earthy,Sweet,Popcorn (toasted/nutty),Woody/Resinous,Musky,Putrid,Fruity (non-citrus),Camphoraceous,Spicy,Pepperminty,Creamy,Green,Buttery
alcoholic,Medium,High,Medium,,,,,,,,,,,,,,,
aldehydic,Medium,Medium,,Low,Low,,,,,,,,,,,,,
alliaceous,,Low,High,,,Medium,,,,,,,,,,,,
almond,,,,,,,Medium,Medium,Low,,,,,,,,,
amber,,,,,,Low,Medium,,High,Medium,,,,,,,,
animal,,,,,,Medium,,,,High,Low,,,,,,,
anisic,,,Low,Low,,,Medium,,,,,,,,,,,
apple,,,,,,,Medium,,Low,,,High,,,,,,
apricot,,,,Low,,,Medium,,,,,High,,,,,,
aromatic,,,,Medium,,,Low,,Medium,,,,,,,,,
balsamic,Low,,,,,,Medium,,Medium,,,,,,,,,
banana,,,,,,,Medium,,Low,,,High,,,,,,
beefy,,,Low,,,Medium,Low,,Low,Medium,,,,,,,,
bergamot,Low,,,Medium,High,,,,Low,,,Medium,,,,,,
berry,,,,Low,,,Medium,,,,,High,,,,,,
bitter,,Medium,Low,,,,,,,,,,,,,,,
black currant,,,Low,,,Medium,Medium,,,,,High,,,,,,
brandy,Low,,,,,,Medium,,Medium,,,High,,,,,,
burnt,,Medium,High,,,Low,,Medium,,,,,,,,,,
buttery,Low,,,,,,Medium,High,,,,,,,,,,
cabbage,,,Medium,,,Low,Low,,,,Medium,,,,,,,
camphoreous,,,,,,,,,,,,,High,,,,,
caramellic,Low,,,,,,High,Medium,,,,,,,,,,
cedar,,,,,,Medium,,,High,,,,Low,,,,,
celery,,,Low,,,Medium,,,Low,,,,Medium,,,,,
chamomile,,,,Medium,,Low,Medium,,Low,,,Low,,,,,,
cheesy,,,High,,,Medium,,,,,Low,,,,,,,
cherry,,,,Low,,,Medium,,Low,,,High,,,,,,
chocolate,,,,,,Low,High,Medium,Low,,,Low,,,,,,
cinnamon,,,,,,Low,Medium,,High,,,,,Medium,,,,
citrus,,,,,High,,Low,,,,,Medium,,,,,,
clean,Medium,,,Low,Medium,,,,Low,,,,,,,,,
clove,,,High,,,,Low,,Medium,,,,Medium,,,,,
cocoa,,,,,,Low,High,Medium,,,,,,,,,,
coconut,,,,,,,High,,Low,,,Medium,,,,,,
coffee,,,Low,,,Medium,Low,High,Medium,,,,,,,,,
cognac,Low,,,,,Low,Medium,,Medium,,,Medium,,,,,,
cooked,,,,,,Low,Low,Medium,Low,,,,,,,,,
cooling,Medium,,,,,,,,,,,,Medium,,High,,,
cortex,,,,,,Medium,,,Medium,Low,,,,,,,,
coumarinic,,,,,,Low,High,,Medium,,,,,,,,,
creamy,,,,Low,,,Medium,Low,,Low,,,,,,,,
cucumber,Medium,,,,,Low,Low,,,,,Low,,,,,,
